pr,release,section,issues,authors,message
,0.9.5,Features,"","","added support for :path => ""relative/path"""
,0.9.5,Features,"","",added support for older versions of git
,0.9.5,Features,"","",added `bundle install --disable-shared-gems`
,0.9.5,Features,"","",Bundler.require fails silently if a library does not have a file on the load path with its name
,0.9.5,Features,"","",Basic support for multiple rubies by namespacing the default bundle path using the version and engine
,0.9.5,Bugfixes,"","","if the bundle is locked and .bundle/environment.rb is not present when Bundler.setup is called, generate it"
,0.9.5,Bugfixes,"","",same if it's not present with `bundle check`
,0.9.5,Bugfixes,"","",same if it's not present with `bundle install`
,0.9.6,Features,"","",allow String group names
,0.9.6,Features,"","",a number of improvements in the documentation and error messages
,0.9.6,Bugfixes,"","",set SourceIndex#spec_dirs to solve a problem involving Rails 2.3 in unlocked mode
,0.9.6,Bugfixes,"","",ensure Rubygems is fully loaded in Ruby 1.9 before patching it
,0.9.6,Bugfixes,"","",fix `bundle install` for a locked app without a .bundle directory
,0.9.6,Bugfixes,"","",require gems in the order that the resolver determines
,0.9.6,Bugfixes,"","",make the tests platform agnostic so we can confirm that they're green on JRuby
,0.9.6,Bugfixes,"","",fixes for Ruby 1.9
,0.9.7,Bugfixes,"","","don't say that a gem from an excluded group is ""installing"""
,0.9.7,Bugfixes,"","",improve crippling rubygems in locked scenarios
,0.9.8,Features,"","",pack command which both caches and locks
,0.9.8,Features,"","",descriptive error if a cached gem is missing
,0.9.8,Features,"","",remember the --without option after installing
,0.9.8,Features,"","",expand paths given in the Gemfile via the :path option
,0.9.8,Features,"","",add block syntax to the git and group options in the Gemfile
,0.9.8,Features,"","",support gems with extensions that don't admit they depend on rake
,0.9.8,Features,"","",generate gems using gem build gemspec so git gems can have native extensions
,0.9.8,Features,"","",print a useful warning if building a gem fails
,0.9.8,Features,"","",allow manual configuration via BUNDLE_PATH
,0.9.8,Bugfixes,"","",eval gemspecs in the gem directory so relative paths work
,0.9.8,Bugfixes,"","",make default spec for git sources valid
,0.9.8,Bugfixes,"","",don't reinstall gems that are already packed
,0.9.9,Bugfixes,"","",don't die if GEM_HOME is an empty string
,0.9.9,Bugfixes,"","",fixes for Ruby 1.8.6 and 1.9
,0.9.10,Changes,"","",depends on Rubygems 1.3.6
,0.9.10,Bugfixes,"","",support locking after install --without
,0.9.10,Bugfixes,"","",don't reinstall gems from the cache if they're already in the bundle
,0.9.10,Bugfixes,"","",fixes for Ruby 1.8.7 and 1.9
,0.9.11,Changes,"","",added roadmap with future development plans
,0.9.11,Features,"","",install command can take the path to the gemfile with --gemfile (#125)
,0.9.11,Features,"","",unknown command line options are now rejected (#163)
,0.9.11,Features,"","",exec command hugely sped up while locked (#177)
,0.9.11,Features,"","",show command prints the install path if you pass it a gem name (#148)
,0.9.11,Features,"","",open command edits an installed gem with $EDITOR (#148)
,0.9.11,Features,"","",Gemfile allows assigning an array of groups to a gem (#114)
,0.9.11,Features,"","",Gemfile allows :tag option on :git sources
,0.9.11,Features,"","",improve backtraces when a gemspec is invalid
,0.9.11,Features,"","",improve performance by installing gems from the cache if present
,0.9.11,Bugfixes,"","",normalize parameters to Bundler.require (#153)
,0.9.11,Bugfixes,"","",check now checks installed gems rather than cached gems (#162)
,0.9.11,Bugfixes,"","",don't update the gem index when installing after locking (#169)
,0.9.11,Bugfixes,"","",bundle parenthesises arguments for 1.8.6 (#179)
,0.9.11,Bugfixes,"","",gems can now be assigned to multiple groups without problems (#135)
,0.9.11,Bugfixes,"","",fix the warning when building extensions for a gem from git with Rubygems 1.3.6
,0.9.11,Bugfixes,"","",fix a Dependency.to_yaml error due to accidentally including sources and groups
,0.9.11,Bugfixes,"","",don't reinstall packed gems
,0.9.11,Bugfixes,"","",fix gems with git sources that are private repositories
,0.9.12,Changes,"","","refactoring, internal cleanup, more solid specs"
,0.9.12,Features,"","",check command takes a --without option
,0.9.12,Features,"","",check command exits 1 if the check fails
,0.9.12,Bugfixes,"","",perform a topological sort on resolved gems (#191)
,0.9.12,Bugfixes,"","",gems from git work even when paths or repos have spaces (#196)
,0.9.12,Bugfixes,"","","Specification#loaded_from returns a String, like Gem::Specification (#197)"
,0.9.12,Bugfixes,"","","specs eval from inside the gem directory, even when locked"
,0.9.12,Bugfixes,"","",virtual gemspecs are now saved in environment.rb for use when loading
,0.9.12,Bugfixes,"","",unify the Installer's local index and the runtime index (#204)
,0.9.13,Bugfixes,"","",exec command now finds binaries from gems installed via :path
,0.9.13,Bugfixes,"","",gem dependencies are pulled in even if their type is nil
,0.9.13,Bugfixes,"","",paths with spaces have double-quotes to work on Windows
,0.9.13,Bugfixes,"","",set GEM_PATH in environment.rb so generators work with Rails 2
,0.9.14,Features,"","","install command output vastly improved
    - installation message now accurate, with 'using' and 'installing'
    - bundler gems no longer listed as 'system gems'"
,0.9.14,Features,"","",show command output now includes sha and branch name for git gems
,0.9.14,Features,"","",init command now takes --gemspec option for bootstrapping gem Gemfiles
,0.9.14,Features,"","",Bundler.with_clean_env for shelling out to ruby scripts
,0.9.14,Features,"","",show command now aliased as 'list'
,0.9.14,Features,"","",VISUAL env var respected for GUI editors
,0.9.14,Bugfixes,"","",exec command now finds binaries from gems with no gemspec
,0.9.14,Bugfixes,"","",note source of Gemfile resolver errors
,0.9.14,Bugfixes,"","",don't blow up if git urls are changed
,0.9.15,Features,"","","use the env_file if possible instead of doing a runtime resolve
     - huge speedup when calling Bundler.setup while locked
     - ensures bundle exec is fast while locked
     - regenerates env_file if it was generated by an older version"
,0.9.15,Features,"","",update cached/packed gems when you update gems via bundle install
,0.9.15,Bugfixes,"","",prep for Rubygems 1.3.7 changes
,0.9.15,Bugfixes,"","",install command now pulls git branches correctly (#211)
,0.9.15,Bugfixes,"","",raise errors on invalid options in the Gemfile
,0.9.16,Features,"","",exit gracefully on INT signal
,0.9.16,Features,"","",resolver output now indicates whether remote sources were checked
,0.9.16,Features,"","",print error instead of backtrace when exec cannot find a binary (#241)
,0.9.16,Bugfixes,"","","show, check, and open commands work again while locked (oops)"
,0.9.16,Bugfixes,"","","show command for git gems
    - outputs branch names other than master
    - gets the correct sha from the checkout
    - doesn't print sha twice if :ref is set"
,0.9.16,Bugfixes,"","",report errors from bundler/setup.rb without backtraces (#243)
,0.9.16,Bugfixes,"","",fix Gem::Spec#git_version to not error on unloaded specs
,0.9.16,Bugfixes,"","","improve deprecation, Gemfile, and command error messages (#242)"
,0.9.17,Features,"","",Bundler.require now calls Bundler.setup automatically
,0.9.17,Features,"","",Gem::Specification#add_bundler_dependencies added for gemspecs
,0.9.17,Bugfixes,"","",Gem paths are not longer duplicated while loading bundler
,0.9.17,Bugfixes,"","",exec no longer duplicates RUBYOPT if it is already set correctly
,0.9.18,Features,"","",console command that runs irb with bundle (and optional group) already loaded
